;order;sourcename;fieldname;stap_toevoegen;stap_bereken;type;lengte;alias;expression;mag_niet_0_zijn;Toelichting;opmerking;Bron
0;1;;X_OPPOMP;st1a;00_graph;LONG;;Aantal X op pompen;;;Aantal maal op te pompen tot aan overnamepunt;;Berekend
1;2;;X_OBEMAL;st1a;00_graph;LONG;;Aantal onderbemalingen;;;Aantal onderbemalingen die afvoeren op dit gebied;;Berekend
2;3;;X_OBEMA_1N;st1a;00_graph;LONG;;Aantal onderbemalingen direct;;;Aantal onderbemalingen die direct afvoeren op dit gebied;;Berekend
3;4;;K_ONTV_VAN;st1a;00_graph;TEXT;1000.0;Ontvangt van;;;lijst met knoopnummers;;Berekend
4;5;;K_ONTV_1N;st1a;00_graph;TEXT;1000.0;Ontvangt direct van;;;lijst met knoopnummers;;Berekend
5;6;NAAR_KNOOP;K_LOOST_OP;st1a;00_graph;TEXT;50.0;Loost op;;;Naam of Code Rg uit Kikker;;Kikker
6;7;;K_KNP_EIND;st1a;00_graph;TEXT;60.0;Eindbemalingsgebied;;;Eindbemalingsgebied / overnamepunt;;Kikker
7;8;;X_WON_GEB;st2a;01_ber;LONG;;Aantal woningen (G);[par_result_count];;Aantal percelen Gebied;;Berekend
8;9;;X_VE_GEB;st2a;01_ber;LONG;;Aantal ve's (G);[zak_result_count];;Aantal ve's Gebied;;Berekend
9;10;;AW_15_24_G;st2a;01_ber;DOUBLE;;X Afvw. t/m 2024 (G) (m3/u);[Extra_AFW__sum];;Extra afvalwater uitbreidingsgebieden uit Gebied, t/m 2024;;Berekend
10;11;;AW_25_50_G;st2a;01_ber;DOUBLE;;X Afvw. 25 t/m 50 (G) (m3/u);[Extra_AFW1_sum];;Extra afvalwater uitbreidingsgebieden uit Gebied, van 2025 t/m 2050;;Berekend
11;12;;AW_21_24_G;st2a;01_ber;DOUBLE;;X Afvw. 21 t/m 24 (G) (m3/u);[ExAFW_2124_sum];;Extra afvalwater uitbreidingsgebieden uit Gebied, van 2025 t/m 2050;;Berekend
12;13;;AW_25_29_G;st2a;01_ber;DOUBLE;;X Afvw. 25 t/m 29 (G) (m3/u);[ExAFW_2529_sum];;Extra afvalwater uitbreidingsgebieden uit Gebied, van 2025 t/m 2050;;Berekend
13;14;;AW_30_39_G;st2a;01_ber;DOUBLE;;X Afvw. 30 t/m 39 (G) (m3/u);[ExAFW_3039_sum];;Extra afvalwater uitbreidingsgebieden uit Gebied, van 2025 t/m 2050;;Berekend
14;15;;AW_40_50_G;st2a;01_ber;DOUBLE;;X Afvw. 40 t/m 50 (G) (m3/u);[ExAFW_4050_sum];;Extra afvalwater uitbreidingsgebieden uit Gebied, van 2025 t/m 2050;;Berekend
15;16;;PAR_RESULT;st2a;01_ber;DOUBLE;;Part. drinkwaterv. (G) (m3/u);[par_result_sum];;Particulier drinkwaterverbruik in Gebied;;Berekend
